i,nbQst = 500
433,11.270705480791948
434,11.253717601207022
435,11.251237837128947
436,11.223937511998962
437,11.21573913204873
438,11.197975525278355
439,11.152130752979753
440,11.114033189865275
441,11.085249753262573
442,11.078144353518642
443,11.052148702715733
444,10.99319602583481
445,10.971915540630045
446,10.944749788751647
447,10.92225464104902
448,10.91678502958377
449,10.908202610184514
450,10.88202301513684
451,10.861793197686858
452,10.820466322228494
453,10.805973356728144
454,10.79244324912966
455,10.770422083700819
456,10.72874611117119
457,10.702983840914136
458,10.696788085608032
459,10.660232237539876
460,10.642869876794299
461,10.624612988597914
462,10.601653762407771
463,10.60165363276644
464,10.563719670792695
465,10.543564415476375
466,10.514097029870719
467,10.499992238423117
468,10.42123792595167
469,10.413650038537588
470,10.380033713403764
471,10.366777226103547
472,10.347420858039273
473,10.324490921550023
474,10.311507124686955
475,10.302634414404373
476,10.291779404663387
477,10.272850802681127
478,10.233169700587798
479,10.194189928231156
480,10.1883973753948
481,10.188397367482242
482,10.153409441943023
483,10.114697190704515
484,10.100735579248559
485,10.09356230284819
486,10.084646660334283
487,10.02586480988127
488,9.997179691772823
489,9.97551689620965
490,9.963227267752941
491,9.93906701416392
492,9.92033037360103
493,9.920330371113662
494,9.894826401860177
495,9.888400773173482
496,9.865435580709777
497,9.823741651272108
498,9.81979220087934
499,9.765178793600747
500,9.701763801010879
